wave_num,S31-1,S31-2,S31-3,S31-4,S31-5,S31-6,S32-1,S32-2,S32-3,S32-4,S32-5,S32-6,S34-1,S34-2,S34-3,S34-4,S34-5,S34-6,S35-1,S35-2,S35-3,S35-4,S35-5,S35-6,S36-1,S36-2,S36-3,S36-4,S36-5,S36-6,S37-1,S37-2,S37-3,S37-4,S37-5,S37-6,S38-1,S38-2,S38-3,S38-4,S38-5,S38-6,S39-1,S39-2,S39-3,S39-4,S39-5,S39-6,S41-1,S41-2,S41-3,S41-4,S41-5,S41-6,S42-1,S42-2,S42-3,S42-4,S42-5,S42-6,S45-1,S45-2,S45-3,S45-4,S45-5,S45-6,S50-1,S50-2,S50-3,S50-4,S50-5,S50-6,S54-1,S54-2,S54-3,S54-4,S54-5,S54-6,S55-1,S55-2,S55-3,S55-4,S55-5,S55-6,S57-1,S57-2,S57-3,S57-4,S57-5,S57-6,S58-1,S58-2,S58-3,S58-4,S58-5,S58-6,S62-1,S62-2,S62-3,S62-4,S62-5,S62-6,S64-1,S64-2,S64-3,S64-4,S64-5,S64-6,S69-1,S69-2,S69-3,S69-4,S69-5,S69-6,S70-1,S70-2,S70-3,S70-4,S70-5,S70-6
5.974711071,2.57627,2.5074,2.89461,2.48437,2.78764,2.37912,3.15517,2.79028,2.75634,3.02263,2.72677,2.3861,1.77463,1.79092,1.79231,1.80108,1.76697,1.7929,2.253,2.19014,2.21381,2.2862,2.21941,2.35597,2.48266,2.70905,2.48426,2.79351,2.49133,2.43411,2.37704,2.4049,2.51285,2.78677,2.46612,2.66785,2.76942,2.29299,2.55441,2.57755,2.69959,2.58431,1.32543,1.33572,1.31939,1.32754,1.32538,1.33706,2.27761,2.31067,2.48078,2.17927,2.47018,2.29737,2.57082,2.73213,2.42166,2.62865,2.8623,2.70078,2.28742,2.28309,2.37672,2.36723,2.28461,2.33277,1.35352,1.36693,1.37655,1.38658,1.35931,1.34478,2.64019,2.67748,2.64229,2.53073,2.49799,2.59132,2.40428,2.73656,2.29103,2.89547,2.42703,2.76354,1.02289,1.03249,1.02576,1.02031,1.02389,1.02094,2.66723,2.41727,2.61803,2.55729,2.61801,2.66785,0.81329,0.82078,0.82587,0.81719,0.81939,0.81499,0.89351,0.89178,0.89853,0.88404,0.88753,0.89475,2.77668,3.01896,2.90647,2.69045,2.66985,2.66353,0.9117,0.91628,0.91801,0.91277,0.90553,0.90865
5.960244524,2.64935,2.66962,2.75506,2.52427,2.891,2.36339,2.88352,2.77737,3.00226,3.03651,2.72958,2.45281,1.77971,1.82603,1.80282,1.81641,1.78254,1.75532,2.26083,2.13687,2.21006,2.23561,2.38234,2.29299,2.5242,2.57934,2.44353,2.91583,2.48763,2.71869,2.40872,2.38793,2.49935,2.78667,2.69427,2.64769,2.61462,2.24195,2.80488,2.62663,2.80879,2.53067,1.32589,1.33977,1.31652,1.32733,1.32113,1.32054,2.33214,2.40562,2.56632,2.17343,2.46609,2.29511,2.40372,2.78182,2.67673,2.62742,2.78213,2.59294,2.22534,2.19494,2.26979,2.32019,2.25774,2.23743,1.34192,1.37203,1.37548,1.38703,1.36279,1.34244,2.87707,2.59388,2.53211,2.60673,2.56409,2.52067,2.37853,2.83845,2.13371,2.8375,2.45668,2.78274,1.03088,1.04037,1.03239,1.02506,1.02593,1.02612,2.76453,2.37985,2.72363,2.55581,2.82121,2.81944,0.82084,0.82821,0.83304,0.82544,0.82428,0.82273,0.90477,0.89749,0.90719,0.89326,0.89605,0.90501,2.83934,2.80424,2.81795,2.93189,2.60304,2.96113,0.91581,0.92562,0.92359,0.92116,0.9149,0.91308
5.945777978,2.76628,2.75725,2.70919,2.68713,2.49134,2.55837,2.82132,2.92103,2.73663,3.02081,2.82675,2.45115,1.76142,1.83826,1.80082,1.85486,1.79003,1.74356,2.01767,2.11517,2.2041,2.18458,2.33812,2.17933,2.63491,2.5574,2.38344,2.81782,2.41738,2.87216,2.5188,2.48767,2.44634,2.58524,2.94699,2.82087,2.45066,2.19235,2.52471,2.61663,3.03126,2.58353,1.3345,1.34166,1.31741,1.32584,1.3159,1.30963,2.19814,2.40388,2.72602,2.2271,2.45765,2.31512,2.40538,2.66924,2.86229,2.46283,3.14929,2.60729,2.15032,2.1943,2.16754,2.35344,2.2175,2.14451,1.347,1.37609,1.36669,1.37933,1.36936,1.35237,2.99584,2.58542,2.49747,2.58272,2.82458,2.43629,2.41274,2.72185,2.12237,2.56816,2.45075,2.62524,1.03843,1.04969,1.03973,1.03024,1.02867,1.03309,2.74567,2.38341,3.04536,2.65787,2.93163,2.86114,0.83259,0.8363,0.84166,0.83757,0.83175,0.83197,0.91713,0.9064,0.91637,0.90853,0.9065,0.91456,2.60781,2.74529,2.78411,3.17551,2.67371,2.88111,0.92203,0.93257,0.92866,0.92899,0.92867,0.91895
5.931311431,2.73175,2.64169,2.61546,2.79661,2.31696,2.81356,3.24061,2.89004,2.80107,2.75865,2.75323,2.3791,1.76692,1.82644,1.79272,1.86754,1.79263,1.76133,1.99307,2.07803,2.24362,2.15234,2.20278,2.10138,2.72923,2.72852,2.46037,2.79412,2.38567,2.59968,2.60333,2.57189,2.3888,2.47026,2.74685,2.74637,2.45222,2.09468,2.46158,2.60506,2.83463,2.64253,1.34412,1.35223,1.32061,1.32542,1.32394,1.31115,2.0879,2.36214,2.56756,2.28056,2.4638,2.33085,2.47687,2.33471,2.52433,2.42289,2.78513,2.94024,2.14504,2.21471,2.14618,2.46081,2.23284,2.13102,1.35878,1.36788,1.3593,1.37633,1.36751,1.36119,2.78984,2.59959,2.52838,2.48442,2.70629,2.38793,2.49217,2.72069,2.14825,2.50738,2.48317,2.54821,1.04551,1.05719,1.04752,1.04038,1.03807,1.0429,2.6798,2.57247,3.06857,2.61398,2.85648,3.06465,0.84461,0.84414,0.8513,0.85232,0.84285,0.84273,0.92882,0.91834,0.92803,0.92738,0.91837,0.9239,2.58814,2.69666,2.68992,3.07419,2.88009,2.69896,0.93063,0.93922,0.93584,0.93791,0.93911,0.93287
5.916844884,2.64957,2.67181,2.52298,2.72985,2.31392,2.62534,2.91064,2.7009,2.81372,2.74192,2.65912,2.36138,1.78719,1.81923,1.79695,1.8071,1.80054,1.7866,2.16643,2.0689,2.28242,2.16388,2.15082,2.13987,2.50439,2.84365,2.39405,2.77014,2.49047,2.39152,2.49872,2.59584,2.46609,2.5098,2.59628,2.50194,2.66012,2.07637,2.46219,2.72294,2.50066,2.63646,1.35698,1.35883,1.32977,1.32844,1.33684,1.31777,2.09429,2.26566,2.48877,2.2623,2.46043,2.29876,2.56219,2.25027,2.32433,2.46884,2.50422,3.19099,2.28417,2.24702,2.14645,2.48251,2.27345,2.20203,1.35786,1.3557,1.36585,1.37868,1.36052,1.3624,2.71817,2.63243,2.44128,2.43054,2.64662,2.42919,2.78672,2.79618,2.11571,2.56871,2.52704,2.54356,1.05571,1.06564,1.05806,1.0594,1.05583,1.05627,2.58896,2.86398,2.6899,2.74332,2.74853,2.87321,0.85752,0.85306,0.86224,0.86515,0.85496,0.8551,0.94018,0.93394,0.94191,0.94389,0.93471,0.93669,2.70204,2.64202,2.86895,2.89316,2.93386,2.54823,0.93951,0.94877,0.94687,0.94998,0.94578,0.95221
5.902378038,2.59778,2.629,2.52396,2.59897,2.38892,2.46517,2.95809,2.68822,2.79177,2.68183,2.65223,2.40877,1.77237,1.82705,1.794,1.74516,1.78001,1.79843,2.26198,2.11511,2.18518,2.15903,2.20575,2.22619,2.46963,2.67721,2.26922,2.69837,2.65796,2.44405,2.51437,2.46301,2.63757,2.61112,2.60366,2.36243,2.53704,2.13208,2.59262,2.76454,2.31724,2.61451,1.36773,1.3599,1.34497,1.33435,1.34027,1.32438,2.20459,2.19365,2.30775,2.20494,2.4198,2.21829,3.1103,2.29562,2.23329,2.46056,2.53758,3.21981,2.47491,2.1738,2.12453,2.36968,2.23404,2.29026,1.34642,1.35266,1.37249,1.37703,1.35632,1.35794,2.60659,2.63336,2.3143,2.50413,2.65917,2.53679,3.02712,2.66887,2.10699,2.51315,2.4943,2.49775,1.07107,1.07803,1.07285,1.08101,1.07129,1.07242,2.77226,2.87731,2.52775,2.79828,2.5955,2.86507,0.87345,0.86414,0.87284,0.8727,0.86417,0.86703,0.9551,0.95124,0.95633,0.95842,0.95425,0.95381,3.18614,2.65276,3.18168,3.21856,2.72671,2.48878,0.94965,0.96256,0.95986,0.96423,0.95523,0.96795
5.887911491,2.57529,2.64367,2.54684,2.3972,2.38568,2.36601,3.16973,2.84513,2.73106,2.54637,2.75443,2.46139,1.75144,1.83845,1.77716,1.73855,1.74058,1.78845,2.11425,2.17416,2.11633,2.08624,2.28714,2.19955,2.39868,2.82171,2.29199,2.69598,2.824,2.49777,2.48223,2.43444,2.75729,2.68998,2.44241,2.32674,2.37952,2.15442,2.6862,2.72924,2.34853,2.5859,1.35846,1.3743,1.35664,1.34177,1.34101,1.33067,2.4558,2.26068,2.19498,2.25622,2.33244,2.14672,2.84062,2.39974,2.2125,2.42376,2.78357,3.03354,2.452,2.04972,2.15957,2.27909,2.1511,2.33959,1.33714,1.36006,1.37182,1.37028,1.36257,1.35063,2.61939,2.61982,2.3098,2.60493,2.61446,2.64662,2.94468,2.58267,2.14829,2.49041,2.47709,2.43628,1.09046,1.09237,1.08741,1.09553,1.08051,1.08719,2.71485,2.70452,2.57779,3.0145,2.51641,3.05253,0.88851,0.8778,0.88268,0.88031,0.87281,0.87668,0.97442,0.967,0.97195,0.97495,0.97072,0.9702,2.74319,2.68319,2.95612,3.06596,2.81029,2.63101,0.96391,0.9794,0.97307,0.97572,0.96958,0.97647
5.873444944,2.37679,2.49893,2.46938,2.34879,2.31346,2.33823,2.77424,2.72778,2.60085,2.65049,2.74663,2.47488,1.77548,1.81123,1.77438,1.75386,1.72546,1.76848,2.06033,2.23245,2.14234,2.04456,2.26624,2.16431,2.2863,3.11923,2.43986,2.56067,2.82236,2.39707,2.4224,2.45379,2.67215,2.55398,2.45054,2.3605,2.45363,2.13678,2.59561,2.62203,2.49275,2.56042,1.34125,1.39301,1.35893,1.34972,1.34468,1.33984,2.77722,2.34984,2.1783,2.37233,2.27855,2.15021,2.74572,2.53406,2.2592,2.38545,2.83507,2.81712,2.48778,2.0237,2.27992,2.26483,2.1816,2.29094,1.34012,1.36637,1.37304,1.364,1.3772,1.34495,2.69263,2.60726,2.45053,2.55137,2.57444,2.64583,2.9726,2.58817,2.13711,2.45639,2.55181,2.38154,1.10689,1.10795,1.09851,1.10445,1.09015,1.09783,2.47295,2.67355,2.6798,2.70502,2.557,2.98868,0.90058,0.89107,0.89493,0.89328,0.88479,0.88596,0.99368,0.98135,0.98914,0.99297,0.98373,0.98303,2.83745,2.62513,2.85437,2.89955,2.8482,2.72952,0.98148,0.99493,0.98924,0.98241,0.98689,0.98156
5.858978398,2.32583,2.42006,2.39996,2.34086,2.26258,2.33158,2.59259,2.75623,2.49967,2.7022,2.72731,2.52193,1.81606,1.76765,1.77129,1.76049,1.72812,1.74871,2.02747,2.29564,2.20706,2.09849,2.19265,2.13303,2.34248,2.9503,2.51377,2.52351,2.65368,2.59265,2.38543,2.45105,2.62053,2.47615,2.55942,2.38378,2.36165,2.15443,2.54336,2.46604,2.60068,2.5711,1.34226,1.38634,1.35274,1.3511,1.34865,1.35271,2.56485,2.24038,2.14286,2.36169,2.28093,2.18677,3.00546,2.55537,2.42617,2.42282,2.68714,2.76625,2.73596,2.11926,2.31495,2.29098,2.24573,2.25826,1.35117,1.36599,1.37023,1.3614,1.37835,1.34189,2.6462,2.57364,2.67451,2.43315,2.49308,2.6225,3.13568,2.65042,2.08808,2.37199,2.4636,2.34861,1.11477,1.12026,1.1108,1.11343,1.10077,1.109,2.45818,2.62592,2.64445,2.50893,2.63594,2.7565,0.91038,0.90111,0.90793,0.90717,0.89809,0.89597,1.00875,0.99532,1.00351,1.00766,0.99496,0.99611,2.83611,2.52694,2.82324,2.70848,2.79856,2.52013,0.99724,1.00435,1.00442,0.98771,1.00054,0.98907
5.844511551,2.40831,2.47217,2.40139,2.31385,2.28745,2.33136,2.55107,2.79756,2.52175,2.66102,2.78952,2.46214,1.82773,1.75089,1.73486,1.77351,1.72657,1.72678,2.07182,2.3431,2.21937,2.23219,2.18072,2.06779,2.52789,2.53102,2.44048,2.64859,2.75203,2.56541,2.42654,2.45912,2.53506,2.41576,2.56916,2.40575,2.31864,2.23412,2.42609,2.41598,2.52919,2.55086,1.35282,1.36338,1.34619,1.34395,1.35283,1.36148,2.26744,2.13434,2.04568,2.27705,2.33736,2.15136,2.80305,2.46528,2.59497,2.6046,2.54318,2.81616,2.48192,2.20554,2.27662,2.3375,2.21074,2.26233,1.35275,1.36577,1.35905,1.36235,1.36298,1.34535,2.55462,2.69965,2.94247,2.43663,2.3318,2.62308,2.96351,2.76843,2.11439,2.41702,2.35641,2.35107,1.11665,1.12639,1.12655,1.12153,1.1096,1.12053,2.49061,2.43945,2.53121,2.57441,2.70598,2.53456,0.91759,0.91093,0.91681,0.9176,0.90925,0.90694,1.01706,1.00897,1.01323,1.01628,1.00361,1.00844,2.70851,2.51117,2.73402,2.64499,2.80408,2.52794,1.00633,1.00835,1.00931,0.99581,1.00565,0.9991
