wave_num,S31,S32,S34,S35,S36,S37,S38,S39,S41,S42,S45,S48,S49,S50,S52,S54,S55,S57,S58,S62,S64,S69,S70
3.992785179,1.704648333,1.752935,1.211473333,1.285861667,1.850216667,1.597505,1.545105,1.386561667,1.26173,1.517021667,1.404443333,1.930528333,1.277226667,1.133511667,1.439386667,1.892228333,2.062736667,1.630826667,1.733358333,1.408428333,1.593855,2.214213333,1.453756667
3.978318632,1.714035,1.76935,1.200731667,1.274341667,1.868238333,1.583113333,1.52923,1.385121667,1.251311667,1.493256667,1.392213333,1.885413333,1.285223333,1.129956667,1.44327,1.892585,2.049281667,1.627193333,1.736486667,1.422446667,1.621021667,2.248995,1.459425
3.963852085,1.715101667,1.7515,1.194021667,1.270363333,1.951058333,1.568321667,1.507845,1.380675,1.237965,1.485248333,1.372886667,1.895576667,1.282341667,1.123916667,1.43561,1.910285,2.039941667,1.62847,1.697398333,1.433736667,1.634698333,2.269635,1.455441667
3.949385239,1.718503333,1.708821667,1.186978333,1.263656667,2.018906667,1.56053,1.491028333,1.381028333,1.223343333,1.47674,1.356516667,1.952948333,1.276668333,1.11583,1.427278333,1.904663333,2.010448333,1.645653333,1.65697,1.429423333,1.631678333,2.244235,1.444196667
3.934918692,1.73319,1.683231667,1.178538333,1.241558333,1.979665,1.538148333,1.482548333,1.380875,1.211018333,1.458563333,1.346851667,1.989733333,1.27221,1.104243333,1.40645,1.903553333,2.019731667,1.65766,1.643866667,1.405668333,1.613865,2.223661667,1.434
3.920452145,1.7298,1.69178,1.174375,1.219301667,1.977875,1.506208333,1.483513333,1.358098333,1.199293333,1.443655,1.33188,2.011256667,1.262085,1.093478333,1.362158333,1.911613333,2.034743333,1.636966667,1.637836667,1.374011667,1.577548333,2.320855,1.42953
3.905985599,1.706133333,1.715363333,1.170058333,1.21076,2.001613333,1.497408333,1.482086667,1.317763333,1.18127,1.435263333,1.315556667,2.044188333,1.24372,1.082456667,1.306071667,1.904855,2.028345,1.580868333,1.623691667,1.345676667,1.52368,2.465283333,1.416046667
3.891519052,1.695651667,1.717696667,1.159173333,1.207378333,2.02832,1.514595,1.479056667,1.286296667,1.160663333,1.429803333,1.301773333,2.102823333,1.223748333,1.06334,1.249775,1.879638333,2.07529,1.52691,1.615795,1.320353333,1.475998333,2.37432,1.387515
3.877052205,1.716091667,1.691046667,1.145513333,1.187356667,2.06571,1.517076667,1.479931667,1.26464,1.145621667,1.422028333,1.28762,2.112241667,1.202998333,1.040058333,1.191756667,1.852878333,2.131268333,1.489793333,1.610376667,1.290126667,1.44648,2.32594,1.355128333
3.862585659,1.743546667,1.66596,1.1358,1.16365,2.04981,1.496428333,1.46885,1.238526667,1.132331667,1.403425,1.278895,2.097245,1.175836667,1.019563333,1.131208333,1.856098333,2.248798333,1.459828333,1.593893333,1.25096,1.424213333,2.25871,1.322025
3.848119112,1.733551667,1.670553333,1.133193333,1.150621667,2.09455,1.478211667,1.430688333,1.21264,1.112946667,1.381905,1.269746667,2.179248333,1.144171667,0.999675,1.075571667,1.88657,2.113586667,1.431253333,1.566235,1.213325,1.391301667,2.364235,1.28774
3.833652565,1.716203333,1.68878,1.133871667,1.150831667,2.07703,1.464173333,1.397043333,1.191193333,1.089351667,1.372528333,1.25582,2.15459,1.111761667,0.978036667,1.030186667,1.942491667,2.026036667,1.400853333,1.534238333,1.18138,1.345308333,2.375278333,1.253498333
3.819185719,1.715953333,1.692528333,1.128676667,1.150018333,1.981411667,1.456311667,1.381183333,1.169508333,1.073711667,1.374996667,1.243335,2.076238333,1.080985,0.958018333,0.990791667,1.975818333,2.064931667,1.36434,1.514006667,1.148821667,1.295923333,2.394553333,1.217251667
3.804719172,1.73945,1.682273333,1.120088333,1.128663333,1.980771667,1.450433333,1.365871667,1.147995,1.072555,1.378005,1.2331,2.041905,1.055841667,0.942353333,0.953248333,1.958758333,2.184276667,1.325436667,1.510863333,1.117466667,1.25312,2.346986667,1.177935
3.790252625,1.792008333,1.670223333,1.11262,1.102333333,1.954988333,1.43096,1.349541667,1.129481667,1.07139,1.368088333,1.217431667,1.981346667,1.030733333,0.927176667,0.91796,1.947076667,2.225908333,1.295216667,1.517576667,1.091386667,1.216238333,2.232388333,1.141951667
3.775786079,1.83855,1.660575,1.100421667,1.089516667,1.917108333,1.407653333,1.3407,1.111663333,1.060216667,1.346878333,1.199835,1.953358333,1.000035,0.913046667,0.88589,1.938795,2.233805,1.27728,1.523203333,1.068935,1.180723333,2.215006667,1.114998333
3.761319532,1.834495,1.656191667,1.085976667,1.088916667,1.885213333,1.396583333,1.336753333,1.09332,1.048426667,1.328465,1.1892,1.952225,0.970968333,0.901666667,0.856678333,1.935778333,2.212766667,1.259365,1.510405,1.04906,1.148961667,2.22111,1.094815
3.746852685,1.810751667,1.65016,1.07611,1.07888,1.834466667,1.388108333,1.338078333,1.075621667,1.038465,1.319821667,1.183705,1.927705,0.950816667,0.891968333,0.82821,1.898728333,2.09704,1.23006,1.489831667,1.029176667,1.11935,2.268481667,1.076138333
3.732386139,1.811058333,1.640875,1.06669,1.05818,1.806101667,1.366223333,1.342141667,1.057635,1.024683333,1.313145,1.176148333,1.908505,0.937273333,0.883526667,0.798643333,1.879565,2.044996667,1.195908333,1.483203333,1.007371667,1.088095,2.417896667,1.052858333
3.717919592,1.804151667,1.626561667,1.056655,1.040823333,1.766413333,1.340891667,1.340543333,1.03646,1.014276667,1.301275,1.161165,1.902043333,0.926196667,0.873725,0.769931667,1.902998333,2.036278333,1.167186667,1.490246667,0.983253333,1.058741667,2.405861667,1.02725
3.703453045,1.762353333,1.615316667,1.054875,1.031668333,1.764041667,1.328291667,1.342318333,1.013403333,1.011495,1.28578,1.142136667,1.867368333,0.91128,0.859185,0.745915,1.921381667,2.130871667,1.143466667,1.494676667,0.957883333,1.034421667,2.403333333,1.007348333
3.688986199,1.733561667,1.621026667,1.059053333,1.018306667,1.76025,1.32682,1.348241667,0.99515,1.004708333,1.276941667,1.125555,1.83251,0.890673333,0.843643333,0.724848333,1.906428333,2.164566667,1.120418333,1.488625,0.936015,1.010043333,2.335103333,0.989901667
3.674519652,1.711668333,1.625543333,1.057375,1.002035,1.740908333,1.323316667,1.336363333,0.980975,0.992098333,1.271078333,1.116788333,1.810195,0.871495,0.83361,0.70083,1.885815,2.165016667,1.097478333,1.472681667,0.917463333,0.981048333,2.322506667,0.96706
3.660053105,1.692255,1.619333333,1.048738333,0.994925,1.720145,1.31377,1.315743333,0.965338333,0.985155,1.258883333,1.114911667,1.784186667,0.853505,0.82872,0.674383333,1.890155,2.168956667,1.07506,1.45753,0.899061667,0.954596667,2.26969,0.94478
3.645586559,1.672531667,1.606425,1.041243333,0.994718333,1.743006667,1.301345,1.308285,0.950681667,0.984266667,1.245605,1.111558333,1.753471667,0.834645,0.823455,0.651328333,1.913191667,2.126866667,1.052378333,1.458631667,0.883738333,0.936305,2.199458333,0.928346667
3.631120012,1.68739,1.59957,1.035756667,0.989828333,1.780673333,1.286786667,1.303895,0.93888,0.978788333,1.233975,1.100891667,1.746436667,0.817485,0.814233333,0.631866667,1.890075,2.088381667,1.030675,1.465743333,0.873811667,0.91873,2.240768333,0.911961667
